id,type,name,x,y,delivery_area,priority,max_capacity,current_load
DP_39,DeliveryPoint,Sweileh Delivery 39,31.968969,35.837162,Sweileh,Low,,
WH_40,Warehouse,Na ur Warehouse 40,31.952495,35.960804,,,100,69
WH_41,Warehouse,Russeifa Warehouse 41,31.908303,36.050112,,,1000,688
DP_42,DeliveryPoint,Amman Delivery 42,31.850518,35.842507,Amman,Medium,,
WH_43,Warehouse,Deir Ghbar Warehouse 43,31.961352,35.869681,,,1000,61
WH_44,Warehouse,Marka Warehouse 44,31.97756,35.813256,,,1000,687
LOC_45,General,Ramtha Location 45,32.01747,36.003101,,,,
DP_46,DeliveryPoint,Abdoun Delivery 46,31.857023,35.946372,Abdoun,Medium,,
LOC_47,General,Dabouq Location 47,32.084893,35.925821,,,,
DP_48,DeliveryPoint,Airport Road Delivery 48,32.03332,35.831302,Airport Road,Medium,,
WH_49,Warehouse,Marka Warehouse 49,31.899382,36.031122,,,200,53
WH_50,Warehouse,Mecca Street Warehouse 50,31.957812,36.082599,,,1000,182
DP_51,DeliveryPoint,Irbid Delivery 51,32.075821,35.934248,Irbid,Low,,
WH_52,Warehouse,Irbid Warehouse 52,31.984202,35.973629,,,200,12
DP_53,DeliveryPoint,Aqaba Delivery 53,31.903191,35.984115,Aqaba,Low,,
LOC_54,General,Hashmi Shamali Location 54,31.986461,35.987863,,,,
LOC_55,General,Mafraq Location 55,31.869588,35.9624,,,,
LOC_56,General,Jubeiha Location 56,32.07288,35.903464,,,,
DP_57,DeliveryPoint,Deir Ghbar Delivery 57,31.906125,36.000196,Deir Ghbar,Low,,
LOC_58,General,Irbid Location 58,32.073294,36.014311,,,,
WH_59,Warehouse,Ramtha Warehouse 59,32.044552,36.02893,,,200,156
WH_60,Warehouse,Ajloun Warehouse 60,31.927565,35.868684,,,100,67
LOC_61,General,Jubeiha Location 61,32.001621,35.831482,,,,
WH_62,Warehouse,Madaba Warehouse 62,31.925923,36.094103,,,1000,198
WH_63,Warehouse,Salt Warehouse 63,31.9157,35.967919,,,1000,531
WH_64,Warehouse,Dabouq Warehouse 64,31.984827,35.898602,,,200,72
DP_65,DeliveryPoint,Sweileh Delivery 65,31.984223,35.957784,Sweileh,High,,
WH_66,Warehouse,Jubeiha Warehouse 66,31.990554,35.892972,,,1000,887
DP_67,DeliveryPoint,Khalda Delivery 67,31.86481,35.986721,Khalda,Low,,
DP_68,DeliveryPoint,Marka Delivery 68,31.922783,35.989875,Marka,Medium,,
WH_69,Warehouse,Yajouz Warehouse 69,32.029379,35.888347,,,200,45
DP_70,DeliveryPoint,Na ur Delivery 70,32.073756,35.869388,Na ur,High,,
WH_71,Warehouse,Russeifa Warehouse 71,31.932574,35.903445,,,100,49
WH_72,Warehouse,Jabal Amman Warehouse 72,31.866693,35.863888,,,100,70
WH_73,Warehouse,Karak Warehouse 73,32.04079,35.878731,,,500,200
LOC_74,General,Yajouz Location 74,32.090154,36.078774,,,,
LOC_75,General,Abu Nsair Location 75,31.858617,35.846517,,,,
DP_76,DeliveryPoint,Tabarbour Delivery 76,32.091503,35.824656,Tabarbour,Low,,
DP_77,DeliveryPoint,Marka Delivery 77,31.988922,35.888095,Marka,Low,,
DP_78,DeliveryPoint,Jabal Amman Delivery 78,31.932744,36.013258,Jabal Amman,Low,,
LOC_79,General,Irbid Location 79,31.96851,35.95492,,,,
WH_80,Warehouse,Gardens Warehouse 80,31.904585,35.996836,,,200,93
LOC_81,General,Abdoun Location 81,31.997247,35.983493,,,,
LOC_82,General,Madaba Location 82,31.923364,36.066582,,,,
DP_83,DeliveryPoint,Abu Nsair Delivery 83,32.098993,36.034718,Abu Nsair,High,,
WH_84,Warehouse,Abdali Warehouse 84,32.01914,35.893133,,,200,178
WH_85,Warehouse,Salt Warehouse 85,31.935277,35.96407,,,1000,140
DP_86,DeliveryPoint,Dabouq Delivery 86,31.989979,35.950078,Dabouq,Medium,,
WH_87,Warehouse,Na ur Warehouse 87,32.001768,35.843068,,,1000,268
WH_88,Warehouse,Hashmi Shamali Warehouse 88,31.867294,36.046092,,,500,324
LOC_89,General,Mafraq Location 89,31.954769,35.846917,,,,
WH_90,Warehouse,Sweileh Warehouse 90,31.851844,35.998798,,,500,496
WH_91,Warehouse,Zarqa Warehouse 91,31.861953,36.095283,,,200,193
WH_92,Warehouse,Rabia Warehouse 92,31.908604,36.037145,,,100,96
LOC_93,General,Jabal Hussein Location 93,31.933639,36.012163,,,,
DP_94,DeliveryPoint,Marj Al Hamam Delivery 94,31.938417,36.045715,Marj Al Hamam,Low,,
LOC_95,General,Deir Ghbar Location 95,31.871552,36.0908,,,,
DP_96,DeliveryPoint,Abdali Delivery 96,32.0376,35.944945,Abdali,Low,,
WH_97,Warehouse,Yajouz Warehouse 97,32.014379,36.077197,,,100,22
WH_98,Warehouse,Shafa Badran Warehouse 98,31.957187,35.877567,,,500,79
DP_99,DeliveryPoint,Amman Delivery 99,31.95641,35.939057,Amman,High,,
LOC_100,General,Wadi Seer Location 100,31.952872,35.852181,,,,
LOC_101,General,Jubeiha Location 101,31.989448,35.964097,,,,
DP_102,DeliveryPoint,Shafa Badran Delivery 102,31.8832,35.996752,Shafa Badran,Low,,
DP_103,DeliveryPoint,Jerash Delivery 103,32.074737,35.99566,Jerash,High,,
LOC_104,General,Hashmi Shamali Location 104,32.093725,35.803666,,,,
DP_105,DeliveryPoint,Dabouq Delivery 105,31.978831,36.06503,Dabouq,Medium,,
WH_106,Warehouse,Fuheis Warehouse 106,31.85939,36.010778,,,1000,863
WH_107,Warehouse,Abdoun Warehouse 107,31.885328,35.869442,,,200,100
WH_108,Warehouse,Jubeiha Warehouse 108,31.881461,36.044052,,,200,18
DP_109,DeliveryPoint,Abdoun Delivery 109,31.908827,35.87671,Abdoun,High,,
DP_110,DeliveryPoint,Shafa Badran Delivery 110,32.001383,35.813132,Shafa Badran,Medium,,
WH_111,Warehouse,Abu Nsair Warehouse 111,32.051428,35.955184,,,500,323
DP_112,DeliveryPoint,Abdoun Delivery 112,31.861383,35.952894,Abdoun,High,,
WH_113,Warehouse,Sweileh Warehouse 113,32.096075,36.047573,,,100,45
DP_114,DeliveryPoint,Zarqa Delivery 114,32.023177,35.844723,Zarqa,Low,,
DP_115,DeliveryPoint,Tabarbour Delivery 115,32.032685,35.906564,Tabarbour,Low,,
LOC_116,General,Madaba Location 116,32.062729,35.856581,,,,
LOC_117,General,Abdoun Location 117,31.915213,36.087275,,,,
LOC_118,General,Tabarbour Location 118,32.009838,35.993144,,,,
LOC_119,General,Gardens Location 119,31.956288,35.887642,,,,
LOC_120,General,Khalda Location 120,32.044127,35.860935,,,,
WH_121,Warehouse,Jubeiha Warehouse 121,32.090877,35.860331,,,200,191
DP_122,DeliveryPoint,Jabal Amman Delivery 122,32.046405,35.893489,Jabal Amman,High,,
WH_123,Warehouse,Jabal Hussein Warehouse 123,31.894355,35.909911,,,500,468
WH_124,Warehouse,Hashmi Shamali Warehouse 124,31.876683,35.853466,,,100,73
DP_125,DeliveryPoint,Aqaba Delivery 125,31.909635,36.019822,Aqaba,High,,
WH_126,Warehouse,Airport Road Warehouse 126,32.069445,35.865646,,,500,90
WH_127,Warehouse,Um Uthaina Warehouse 127,32.062333,35.903142,,,200,10
LOC_128,General,Abdoun Location 128,32.030358,35.812995,,,,
WH_129,Warehouse,Deir Ghbar Warehouse 129,31.874757,35.836963,,,100,9
WH_130,Warehouse,Jabal Hussein Warehouse 130,32.034139,36.019489,,,100,27
DP_131,DeliveryPoint,Yajouz Delivery 131,31.97764,35.97046,Yajouz,Medium,,
DP_132,DeliveryPoint,Irbid Delivery 132,32.034648,35.949995,Irbid,Low,,
WH_133,Warehouse,Sahab Warehouse 133,31.88943,35.838202,,,1000,209
DP_134,DeliveryPoint,Jubeiha Delivery 134,31.923462,36.003377,Jubeiha,High,,
LOC_135,General,Gardens Location 135,31.89863,35.940598,,,,
WH_136,Warehouse,Salt Warehouse 136,31.95128,35.913884,,,200,54
DP_137,DeliveryPoint,Airport Road Delivery 137,31.980594,35.916811,Airport Road,Medium,,
LOC_138,General,Marj Al Hamam Location 138,31.875575,36.088174,,,,
DP_139,DeliveryPoint,Madaba Delivery 139,32.028574,35.933528,Madaba,High,,
DP_140,DeliveryPoint,Wehdat Delivery 140,31.910945,35.96769,Wehdat,Medium,,
DP_141,DeliveryPoint,Marka Delivery 141,31.935472,36.050086,Marka,Medium,,
WH_142,Warehouse,Madaba Warehouse 142,31.906951,35.938528,,,500,38
WH_143,Warehouse,Irbid Warehouse 143,32.035751,35.87677,,,1000,629
WH_144,Warehouse,Gardens Warehouse 144,31.939747,35.912309,,,500,56
LOC_145,General,Jabal Hussein Location 145,31.886415,36.026083,,,,
WH_146,Warehouse,Tafilah Warehouse 146,32.093313,36.016782,,,100,7
LOC_147,General,Ajloun Location 147,31.947526,35.821073,,,,
LOC_148,General,Fuheis Location 148,31.950287,35.860463,,,,
DP_149,DeliveryPoint,Russeifa Delivery 149,31.992492,36.015921,Russeifa,High,,
DP_150,DeliveryPoint,Marj Al Hamam Delivery 150,32.044259,35.901515,Marj Al Hamam,Low,,
LOC_151,General,Marj Al Hamam Location 151,32.057203,35.923121,,,,
WH_152,Warehouse,Marj Al Hamam Warehouse 152,32.012271,35.917892,,,500,159
DP_153,DeliveryPoint,Karak Delivery 153,31.863385,36.082336,Karak,High,,
LOC_154,General,Gardens Location 154,31.881391,36.015384,,,,
WH_155,Warehouse,Tafilah Warehouse 155,32.063845,36.063211,,,100,22
DP_156,DeliveryPoint,Gardens Delivery 156,31.941817,35.905768,Gardens,Medium,,
DP_157,DeliveryPoint,Abu Nsair Delivery 157,31.964086,35.953586,Abu Nsair,High,,
DP_158,DeliveryPoint,Sweileh Delivery 158,31.996997,35.884448,Sweileh,High,,
WH_159,Warehouse,Deir Ghbar Warehouse 159,31.980653,35.949793,,,1000,959
LOC_160,General,Salt Location 160,31.905821,35.81342,,,,
DP_161,DeliveryPoint,Ajloun Delivery 161,32.091706,35.829403,Ajloun,Medium,,
DP_162,DeliveryPoint,Abdoun Delivery 162,32.088292,35.874406,Abdoun,Medium,,
WH_163,Warehouse,Marj Al Hamam Warehouse 163,31.886692,35.982074,,,100,34
WH_164,Warehouse,Jabal Hussein Warehouse 164,32.016159,36.019189,,,100,57
DP_165,DeliveryPoint,Hashmi Shamali Delivery 165,31.854021,35.832992,Hashmi Shamali,Low,,
WH_166,Warehouse,Deir Ghbar Warehouse 166,31.882431,35.977415,,,200,46
WH_167,Warehouse,Rabia Warehouse 167,31.851956,35.833877,,,200,129
LOC_168,General,Um Uthaina Location 168,31.984559,36.000375,,,,
DP_169,DeliveryPoint,Yajouz Delivery 169,31.916308,35.900371,Yajouz,High,,
LOC_170,General,Abu Nsair Location 170,32.074315,36.051755,,,,
LOC_171,General,Jerash Location 171,32.062099,36.089833,,,,
LOC_172,General,Gardens Location 172,32.099359,36.072436,,,,
DP_173,DeliveryPoint,Salt Delivery 173,31.951136,35.885363,Salt,Medium,,
WH_174,Warehouse,Khalda Warehouse 174,32.090692,36.002729,,,1000,867
DP_175,DeliveryPoint,Amman Delivery 175,31.86357,35.838336,Amman,Low,,
LOC_176,General,Hashmi Shamali Location 176,31.91953,36.019986,,,,
LOC_177,General,Na ur Location 177,32.053687,35.82348,,,,
LOC_178,General,Jabal Hussein Location 178,32.088539,35.817608,,,,
DP_179,DeliveryPoint,Ajloun Delivery 179,32.023309,36.036996,Ajloun,Medium,,
WH_180,Warehouse,Airport Road Warehouse 180,31.873907,35.992628,,,200,194
WH_181,Warehouse,Shafa Badran Warehouse 181,31.898626,35.997174,,,1000,370
LOC_182,General,Salt Location 182,32.030707,36.096696,,,,
LOC_183,General,Jerash Location 183,31.981585,35.97289,,,,
LOC_184,General,Rabia Location 184,32.055099,36.089053,,,,
DP_185,DeliveryPoint,Na ur Delivery 185,31.872375,35.813146,Na ur,Low,,
WH_186,Warehouse,Russeifa Warehouse 186,31.943974,35.999582,,,1000,509
DP_187,DeliveryPoint,Mecca Street Delivery 187,31.991868,36.06025,Mecca Street,High,,
WH_188,Warehouse,Abdoun Warehouse 188,31.895908,35.803972,,,100,77
WH_189,Warehouse,Gardens Warehouse 189,31.992555,35.983673,,,1000,671
DP_190,DeliveryPoint,Aqaba Delivery 190,32.096072,35.939707,Aqaba,Medium,,
WH_191,Warehouse,Jabal Hussein Warehouse 191,32.003531,35.932413,,,200,1
WH_192,Warehouse,Madaba Warehouse 192,32.003866,36.073223,,,200,192
LOC_193,General,Jubeiha Location 193,31.968394,35.958962,,,,
WH_194,Warehouse,Dabouq Warehouse 194,32.087903,36.07055,,,100,12
DP_195,DeliveryPoint,Sahab Delivery 195,31.981576,35.865009,Sahab,Low,,
LOC_196,General,Tafilah Location 196,31.946362,35.937329,,,,
LOC_197,General,Aqaba Location 197,31.907487,35.860096,,,,
DP_198,DeliveryPoint,Dabouq Delivery 198,31.981883,35.997662,Dabouq,High,,
LOC_199,General,Shafa Badran Location 199,32.000142,35.891371,,,,
WH_200,Warehouse,Sahab Warehouse 200,31.904655,35.970839,,,500,32
DP_201,DeliveryPoint,Wehdat Delivery 201,32.047313,35.861741,Wehdat,High,,
LOC_202,General,Jerash Location 202,32.009164,36.068531,,,,
LOC_203,General,Amman Location 203,32.011659,36.022394,,,,
DP_204,DeliveryPoint,Jubeiha Delivery 204,31.930953,36.024241,Jubeiha,Medium,,
LOC_205,General,Wadi Seer Location 205,31.927387,35.857902,,,,
LOC_206,General,Abdali Location 206,31.981941,36.01961,,,,
WH_207,Warehouse,Russeifa Warehouse 207,31.874908,35.800178,,,1000,654
WH_208,Warehouse,Madaba Warehouse 208,31.924196,35.838863,,,500,374
LOC_209,General,Hashmi Shamali Location 209,31.997596,35.808061,,,,
LOC_210,General,Sweileh Location 210,31.959414,35.940424,,,,
WH_211,Warehouse,Tla Al Ali Warehouse 211,31.909647,35.917493,,,100,41
WH_212,Warehouse,Madaba Warehouse 212,32.070183,35.977688,,,1000,711
LOC_213,General,Ramtha Location 213,31.909942,35.877689,,,,
LOC_214,General,Ajloun Location 214,32.045143,35.962409,,,,
DP_215,DeliveryPoint,Russeifa Delivery 215,32.053774,35.857021,Russeifa,High,,
LOC_216,General,Wehdat Location 216,32.04867,35.978314,,,,
LOC_217,General,Na ur Location 217,31.937203,35.829836,,,,
DP_218,DeliveryPoint,Wadi Seer Delivery 218,31.970759,35.921949,Wadi Seer,Low,,
LOC_219,General,Shafa Badran Location 219,31.90714,35.835349,,,,
LOC_220,General,Khalda Location 220,31.982777,36.037334,,,,
LOC_221,General,Deir Ghbar Location 221,31.913577,35.972857,,,,
WH_222,Warehouse,Wadi Seer Warehouse 222,31.921205,35.834684,,,100,52
WH_223,Warehouse,Wadi Seer Warehouse 223,32.028531,35.813377,,,100,23
WH_224,Warehouse,Khalda Warehouse 224,31.876605,35.861837,,,200,199
LOC_225,General,Deir Ghbar Location 225,32.09411,36.083959,,,,
LOC_226,General,Na ur Location 226,31.893096,35.895353,,,,
LOC_227,General,Marka Location 227,31.99616,35.829977,,,,
WH_228,Warehouse,Dabouq Warehouse 228,32.055725,35.911255,,,100,7
DP_229,DeliveryPoint,Marj Al Hamam Delivery 229,31.999581,35.962929,Marj Al Hamam,Medium,,
DP_230,DeliveryPoint,Mafraq Delivery 230,32.01422,35.89985,Mafraq,Low,,
DP_231,DeliveryPoint,Tabarbour Delivery 231,31.857513,36.097937,Tabarbour,Medium,,
WH_232,Warehouse,Madaba Warehouse 232,32.05929,35.999872,,,1000,34
LOC_233,General,Deir Ghbar Location 233,31.904453,35.980979,,,,
WH_234,Warehouse,Abu Nsair Warehouse 234,32.098441,35.955052,,,100,17
WH_235,Warehouse,Wadi Seer Warehouse 235,31.958191,35.806901,,,500,199
DP_236,DeliveryPoint,Tla Al Ali Delivery 236,32.035332,35.850571,Tla Al Ali,High,,
WH_237,Warehouse,Rabia Warehouse 237,31.873048,36.017452,,,1000,386
LOC_238,General,Abu Nsair Location 238,32.042647,35.803866,,,,
LOC_239,General,Airport Road Location 239,31.872096,35.811155,,,,
DP_240,DeliveryPoint,Ramtha Delivery 240,32.091307,35.892425,Ramtha,Low,,
LOC_241,General,Jubeiha Location 241,31.98687,35.924471,,,,
DP_242,DeliveryPoint,Khalda Delivery 242,31.918569,35.804225,Khalda,Medium,,
WH_243,Warehouse,Marj Al Hamam Warehouse 243,31.990385,36.087741,,,100,66
DP_244,DeliveryPoint,Fuheis Delivery 244,32.097339,36.035952,Fuheis,High,,
WH_245,Warehouse,Wehdat Warehouse 245,32.027428,35.973247,,,1000,36
LOC_246,General,Salt Location 246,31.934358,36.039784,,,,
LOC_247,General,Sahab Location 247,32.075756,36.004217,,,,
LOC_248,General,Rabia Location 248,31.881864,36.065084,,,,
DP_249,DeliveryPoint,Abdoun Delivery 249,31.888499,35.93684,Abdoun,High,,
WH_250,Warehouse,Jabal Amman Warehouse 250,31.879784,36.0555,,,100,77
WH_251,Warehouse,Salt Warehouse 251,31.89938,35.98889,,,200,17
LOC_252,General,Jerash Location 252,31.875428,35.898421,,,,
LOC_253,General,Gardens Location 253,31.866565,35.823429,,,,
DP_254,DeliveryPoint,Dabouq Delivery 254,31.954792,35.895023,Dabouq,Low,,
LOC_255,General,Wadi Seer Location 255,32.053992,35.817239,,,,
LOC_256,General,Mecca Street Location 256,31.968244,36.014087,,,,
LOC_257,General,Salt Location 257,31.873628,35.800526,,,,
WH_258,Warehouse,Sweileh Warehouse 258,32.034936,35.868965,,,100,67
DP_259,DeliveryPoint,Um Uthaina Delivery 259,31.978946,36.052585,Um Uthaina,High,,
DP_260,DeliveryPoint,Jabal Hussein Delivery 260,31.901053,35.97917,Jabal Hussein,Medium,,
LOC_261,General,Fuheis Location 261,31.998362,36.0328,,,,
DP_262,DeliveryPoint,Wehdat Delivery 262,32.083321,35.955946,Wehdat,Medium,,
LOC_263,General,Amman Location 263,31.940092,36.036258,,,,
WH_264,Warehouse,Ramtha Warehouse 264,32.095035,35.839973,,,200,112
DP_265,DeliveryPoint,Mafraq Delivery 265,32.049312,36.065609,Mafraq,High,,
DP_266,DeliveryPoint,Tafilah Delivery 266,31.935967,35.829597,Tafilah,Low,,
DP_267,DeliveryPoint,Ajloun Delivery 267,31.895873,36.044482,Ajloun,Medium,,
DP_268,DeliveryPoint,Shafa Badran Delivery 268,31.987154,35.967927,Shafa Badran,Low,,
LOC_269,General,Jabal Amman Location 269,31.871604,35.858417,,,,
LOC_270,General,Jabal Amman Location 270,31.915363,35.86759,,,,
DP_271,DeliveryPoint,Gardens Delivery 271,31.961631,35.922098,Gardens,High,,
DP_272,DeliveryPoint,Dabouq Delivery 272,31.955911,36.042346,Dabouq,Low,,
DP_273,DeliveryPoint,Abdoun Delivery 273,31.964615,35.980428,Abdoun,Medium,,
DP_274,DeliveryPoint,Irbid Delivery 274,31.90534,36.076782,Irbid,High,,
DP_275,DeliveryPoint,Marj Al Hamam Delivery 275,31.886927,35.840667,Marj Al Hamam,High,,
DP_276,DeliveryPoint,Hashmi Shamali Delivery 276,31.898685,35.905254,Hashmi Shamali,Low,,
DP_277,DeliveryPoint,Khalda Delivery 277,31.857991,36.071023,Khalda,Low,,
LOC_278,General,Amman Location 278,31.941056,35.890454,,,,
WH_279,Warehouse,Tabarbour Warehouse 279,32.00765,35.892821,,,500,442
LOC_280,General,Hashmi Shamali Location 280,32.038847,36.093981,,,,
WH_281,Warehouse,Russeifa Warehouse 281,32.076736,35.976535,,,500,108
WH_282,Warehouse,Abdoun Warehouse 282,32.007635,35.871195,,,1000,223
WH_283,Warehouse,Airport Road Warehouse 283,32.079988,35.959571,,,1000,70
DP_284,DeliveryPoint,Abu Nsair Delivery 284,32.072588,36.009152,Abu Nsair,High,,
WH_285,Warehouse,Sweileh Warehouse 285,31.989524,36.029216,,,100,69
LOC_286,General,Hashmi Shamali Location 286,31.894123,36.054823,,,,
DP_287,DeliveryPoint,Aqaba Delivery 287,31.908811,35.991381,Aqaba,Low,,
LOC_288,General,Ramtha Location 288,32.038037,36.007228,,,,
LOC_289,General,Sweileh Location 289,31.885071,36.074507,,,,
DP_290,DeliveryPoint,Tabarbour Delivery 290,32.082723,35.866235,Tabarbour,High,,
WH_291,Warehouse,Jubeiha Warehouse 291,31.974041,35.910023,,,200,189
WH_292,Warehouse,Marka Warehouse 292,31.905156,35.815558,,,1000,705
WH_293,Warehouse,Tla Al Ali Warehouse 293,31.933461,35.908251,,,200,91
WH_294,Warehouse,Fuheis Warehouse 294,32.013471,36.056548,,,200,171
DP_295,DeliveryPoint,Rabia Delivery 295,32.065038,35.957198,Rabia,Low,,
LOC_296,General,Karak Location 296,31.965953,35.859758,,,,
WH_297,Warehouse,Abdoun Warehouse 297,31.960572,36.055679,,,200,97
WH_298,Warehouse,Shafa Badran Warehouse 298,31.911523,35.935648,,,200,197
DP_299,DeliveryPoint,Tafilah Delivery 299,31.862298,35.825394,Tafilah,High,,
DP_300,DeliveryPoint,Salt Delivery 300,31.897642,36.06338,Salt,Low,,
DP_301,DeliveryPoint,Madaba Delivery 301,31.952106,36.012744,Madaba,Low,,
DP_302,DeliveryPoint,Madaba Delivery 302,32.003556,36.012516,Madaba,Low,,
LOC_303,General,Sweileh Location 303,31.98806,35.892905,,,,
LOC_304,General,Wehdat Location 304,31.988737,36.024376,,,,
LOC_305,General,Tabarbour Location 305,31.949825,35.958989,,,,
LOC_306,General,Abdali Location 306,32.065897,35.94351,,,,
LOC_307,General,Wadi Seer Location 307,31.854563,36.034557,,,,
WH_308,Warehouse,Tla Al Ali Warehouse 308,31.879009,36.073492,,,1000,601
DP_309,DeliveryPoint,Wehdat Delivery 309,31.963751,35.957177,Wehdat,Medium,,
DP_310,DeliveryPoint,Zarqa Delivery 310,32.093851,36.038698,Zarqa,Medium,,
DP_311,DeliveryPoint,Tabarbour Delivery 311,31.977875,35.802307,Tabarbour,High,,
WH_312,Warehouse,Abu Nsair Warehouse 312,31.991886,35.86161,,,1000,342
WH_313,Warehouse,Gardens Warehouse 313,31.909816,35.867021,,,200,98
DP_314,DeliveryPoint,Zarqa Delivery 314,32.031783,35.976636,Zarqa,High,,
WH_315,Warehouse,Gardens Warehouse 315,32.068482,36.083453,,,100,17
DP_316,DeliveryPoint,Sweileh Delivery 316,31.866385,36.050684,Sweileh,Low,,
WH_317,Warehouse,Wehdat Warehouse 317,32.028592,35.889139,,,200,120
WH_318,Warehouse,Jubeiha Warehouse 318,32.070343,36.014874,,,100,70
DP_319,DeliveryPoint,Marj Al Hamam Delivery 319,32.021612,35.888944,Marj Al Hamam,Medium,,
WH_320,Warehouse,Dabouq Warehouse 320,32.032443,36.051387,,,1000,627
DP_321,DeliveryPoint,Ramtha Delivery 321,31.868966,35.957208,Ramtha,Low,,
WH_322,Warehouse,Mecca Street Warehouse 322,32.063396,35.982601,,,200,188
LOC_323,General,Sweileh Location 323,32.073824,36.086396,,,,
WH_324,Warehouse,Fuheis Warehouse 324,31.9489,35.847543,,,200,30
WH_325,Warehouse,Na ur Warehouse 325,31.862854,35.833131,,,500,54
WH_326,Warehouse,Amman Warehouse 326,31.861707,35.847159,,,500,14
WH_327,Warehouse,Salt Warehouse 327,31.928281,35.81146,,,100,39
LOC_328,General,Jabal Amman Location 328,31.880764,36.050125,,,,
WH_329,Warehouse,Sweileh Warehouse 329,31.917575,36.018511,,,500,259
DP_330,DeliveryPoint,Abdali Delivery 330,32.044229,35.955391,Abdali,Low,,
WH_331,Warehouse,Tla Al Ali Warehouse 331,31.897747,36.073381,,,1000,242
LOC_332,General,Abu Nsair Location 332,31.958422,36.034304,,,,
LOC_333,General,Gardens Location 333,32.021153,35.966062,,,,
WH_334,Warehouse,Aqaba Warehouse 334,31.862381,36.010271,,,100,46
LOC_335,General,Rabia Location 335,32.085245,35.982924,,,,
LOC_336,General,Deir Ghbar Location 336,32.067794,36.082658,,,,
LOC_337,General,Wadi Seer Location 337,31.986369,35.835578,,,,
DP_338,DeliveryPoint,Na ur Delivery 338,31.956062,35.820644,Na ur,Medium,,
LOC_339,General,Na ur Location 339,31.969273,35.868121,,,,
WH_340,Warehouse,Yajouz Warehouse 340,31.968917,36.082369,,,500,206
LOC_341,General,Madaba Location 341,32.033483,35.883954,,,,
DP_342,DeliveryPoint,Irbid Delivery 342,32.021009,35.802726,Irbid,Medium,,
LOC_343,General,Abdoun Location 343,31.960455,36.011332,,,,
LOC_344,General,Mafraq Location 344,32.08727,35.939627,,,,
LOC_345,General,Wehdat Location 345,31.873964,36.037613,,,,
LOC_346,General,Abdoun Location 346,31.881973,35.920805,,,,
